Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1974-10-01,3.56970671731989,3.02990205790629,0.242558059704673,1.27126938713548,-3.17175997412208,,,,,,,,,,,,,,,,,,,1974-10-01,1.77856115154425,1.05225916437167,0.415989309840231,,,2.87026416822074,3.14252108702589,-0.5805519361951,-0.684130897224463
1975-01-01,3.02853823611182,2.70229387827015,0.0611375486515668,0.208095673304342,-3.62432008717677,,,,,,,,,,,,,,,,,,,1975-01-01,1.80471786537741,1.05463120101156,0.412923749349177,,,2.8975654846504,3.16538305820487,-0.578355449976066,-1.77654518956672
1975-04-01,2.87500411790504,2.77235366689243,-0.169329528843174,-0.574903012537561,-2.90707323806141,,,,,,,,,,,,,,,,,,,1975-04-01,1.81458490174217,1.05683415301925,0.410138107596337,,,2.9228934291618,3.18736092378876,-0.577161495467375,-1.84252023714146
1975-07-01,2.99340214230664,2.91898735621058,-0.211950597881566,-0.268446731538006,-2.26006878444955,,,,,,,,,,,,,,,,,,,1975-07-01,1.79940436358986,1.05823700345635,0.4082312069194,,,2.93896122272963,3.2019235761357,-0.577085013922649,-1.25422446867515
1975-10-01,3.02841312454641,2.93742167363049,-0.197182419958751,0.297717669443273,-3.32824632538039,,,,,,,,,,,,,,,,,,,1975-10-01,1.79330301880207,1.05952374637659,0.406794342788796,,,2.95268548671804,3.21567508931816,-0.578461346504953,-0.673882027905961
1976-01-01,3.20427599092816,3.14861178945747,-0.253228340378143,0.796917006387503,-3.68703074398921,,,,,,,,,,,,,,,,,,,1976-01-01,1.78068395196008,1.05968658298588,0.405973530139659,,,2.95433767047448,3.21812528077401,-0.579499728666957,0.151732566863302
1976-04-01,2.87451322061867,3.0377741178758,-0.461279780364632,0.723609624894834,-2.06418081269342,,,,,,,,,,,,,,,,,,,1976-04-01,1.78506941016943,1.06148033563537,0.404738432757249,,,2.9692178812798,3.22996075197358,-0.577616100378605,0.385436349586598
1976-07-01,2.79108863373292,2.92345081426538,-0.419165449202191,1.07282539826258,-3.31575912018884,,,,,,,,,,,,,,,,,,,1976-07-01,1.79906554419759,1.06452756060958,0.403193278255472,,,2.9942922677257,3.2492780275636,-0.573754098465201,0.390480441695331
1976-10-01,2.76005780716176,2.87694028022151,-0.399122855592923,1.29886159594071,-3.47024533196711,,,,,,,,,,,,,,,,,,,1976-10-01,1.81353522750348,1.06820965280474,0.40176146519388,,,3.02394442410858,3.27233350806753,-0.569419265726214,0.462967742643286
1977-01-01,2.82403759664005,2.9077844940657,-0.369013231791795,1.69528907122401,-4.07068952694815,,,,,,,,,,,,,,,,,,,1977-01-01,1.81522171350643,1.07166193682409,0.400784459033207,,,3.05098622270889,3.29423770776167,-0.566430564293948,0.839224461292247
1977-04-01,2.94875191537166,3.07415011534918,-0.426985727005969,2.08674446820385,-3.17617296504064,,,,,,,,,,,,,,,,,,,1977-04-01,1.79841979126429,1.0739267377109,0.400351502640624,,,3.06743964645347,3.30768371406547,-0.564742258684872,1.58669875162241
1977-07-01,3.09186395612063,3.16469910550231,-0.383305927061704,2.83341944007327,-3.06876739742762,,,,,,,,,,,,,,,,,,,1977-07-01,1.79417728881652,1.07598476492707,0.400250564207822,,,3.08102528732332,3.31647586475672,-0.560811316815474,2.18092470213912
1977-10-01,2.74135383930155,2.93589131969345,-0.482561216874279,2.75965827911421,-1.37176830740155,,,,,,,,,,,,,,,,,,,1977-10-01,1.82183639589851,1.08047022604663,0.400353070223274,,,3.11402562812792,3.34080527534544,-0.554527207834156,2.00711871208591
1978-01-01,2.63440182557675,2.86062524307601,-0.506863223768585,2.59808469354255,-1.35477220960705,,,,,,,,,,,,,,,,,,,1978-01-01,1.85191131951214,1.08481946000507,0.400872518808475,,,3.14725367770921,3.37015429910457,-0.553527449179857,2.05327056442616
